
5 goal(s)
 Raphael Varane , DF , France
 Salif Sane , DF , Senegal
 Saeid Aghaei , DF , Iran
 Jagos Vukovic , DF , Serbia
 Kaveh Rezaei , FW , Iran
 Christophe Jallet , DF , France
 Thomas Delaney , MF , Denmark
 Kingsley Coman , FW , France
 Guillermo Varela , DF , Uruguay
 Kristjan Floki Finnbogason , FW , Iceland
 Frank Fabra , DF , Colombia
 Ronald Matarrita , DF , CostaRica
 Cristian Gamboa , DF , CostaRica
 Emre Can , MF , Germany
 Miguel Layun , DF , Mexico
 Hugo Ayala , DF , Mexico
 Laurent Depoitre , FW , Belgium
 Makoto Hasebe , MF , Japan
 Martin Olsson , DF , Sweden
 Leandro Paredes , MF , Argentina
 Emil Krafth , DF , Sweden
 Nikola Kalinic , FW , Croatia
 Yordy Reyna , FW , Peru
 Fernandinho , MF , Brazil
 Ricardo Pereira , DF , Portugal
 Miguel Borja , FW , Colombia
 Gerard Pique , DF , Spain
 lvaro Odriozola , DF , Spain
 David Guzman , MF , CostaRica
 Johan Venegas , FW , CostaRica
 Vioar Kjartansson , FW , Iceland
 Karol Linetty , MF , Poland
 Edimilson Fernandes , MF , Switzerland
 David Silva , MF , Spain
 Marcus Rashford , FW , England
 Kyle Walker , DF , England
 Dani Alves , DF , Brazil
 William Kvist , MF , Denmark
 Edgar Ie , DF , Portugal
 Anice Badri , FW , Tunisia
 Denis Zakaria , MF , Switzerland
 İlkay Gündoğan , MF , Germany
 Nilson Loyola , DF , Peru
 Milad Mohammadi , DF , Iran
 Lucas Digne , DF , France
 Anthony Martial , FW , France
 Antonio Rukavina , DF , Serbia
 Aleksandar Mitrovic , FW , Serbia
 Nemanja Maksimovic , MF , Serbia
 Carlos Sanchez , MF , Uruguay
 Matias Vecino , MF , Uruguay
 Kim Young-gwon , DF , SouthKorea
 Lee Myung-joo , MF , SouthKorea
 Jose Maria Gimenez , DF , Uruguay
 Choi Chul-soon , DF , SouthKorea
 Roman Neustdter , DF , Russia
 Wahbi Khazri , MF , Tunisia
 Christian Kabasele , DF , Belgium
 Blaise Matuidi , MF , France
 Adrien Rabiot , MF , France
 Stephan Lichtsteiner , DF , Switzerland
 Eden Hazard , FW , Belgium
 Pontus Jansson , DF , Sweden
 Albin Ekdal , MF , Sweden
 Sam Morsy , MF , Egypt
 Eduardo Salvio , MF , Argentina
 Alejandro Gomez , MF , Argentina
 Yuya Osako , FW , Japan
 Jonathan dos Santos , MF , Mexico
 Enzo Perez , MF , Argentina
 Federico Fazio , DF , Argentina
 Joshua Kimmich , DF , Germany
 Jordi Alba , DF , Spain
 Felipe Pardo , FW , Colombia
 Kahraba , FW , Egypt
 Josh Risdon , DF , Australia
 Zoran Nizic , DF , Croatia
 Yoshimar Yotun , MF , Peru
 Pedro Aquino , MF , Peru
 Ricardo Ferreira , DF , Portugal
 Jens Stryger Larsen , DF , Denmark
 Bruno Fernandes , MF , Portugal
 Bernardo Silva , MF , Portugal
 Danilo Pereira , MF , Portugal
 Anthony Nwakaeme , FW , Nigeria
 Maciej Rybus , DF , Poland
 Saul Liguez , MF , Spain
 Joao Cancelo , DF , Portugal
 Samuel Umtiti , DF , France
 Wataru Endo , MF , Japan
 Denis Glushakov , MF , Russia
 Ahmad Abdollahzadeh , MF , Iran
 Ramin Rezaeian , DF , Iran
 Jan Vertonghen , DF , Belgium
 Carlos Sanchez , MF , Colombia
 Jefferson Lerma , MF , Colombia
 Victor Lindelof , DF , Sweden
 Kevin De Bruyne , MF , Belgium
 Ivan Perisic , MF , Croatia
 Marin Leovac , DF , Croatia
 Moussa Sow , FW , Senegal
 Emiliano Insua , DF , Argentina
 Fallou Diagne , DF , Senegal
 Layvin Kurzawa , DF , France
 Axel Witsel , MF , Belgium
 Ivan Strinic , DF , Croatia
 Antonio Rüdiger , DF , Germany
 Jefferson Farfan , FW , Peru
 Philippe Coutinho , MF , Brazil
 Ricardo Rodriguez , DF , Switzerland
 Steven Defour , MF , Belgium
 Christian Cueva , MF , Peru
 Yeom Ki-hun , MF , SouthKorea
 Bruma , FW , Portugal
 Neymar , FW , Brazil
 Kara Mbodji , DF , Senegal
 Marko Rog , MF , Croatia
 Aldo Corzo , DF , Peru
 Adama Mbengue , DF , Senegal
